Started Training CB and IGL on Sat Aug 14 20:28:51 UTC 2021.
Saving to ../notes/result_2021-08-14_20:28:51.dat
|: -----------------------------------------------------------------------------------------------------:|
|Filename	|	Num Examples	|	CB Loss|IGL Loss	|	IGL Flipped Sign Loss|
ds_1399_7.vw.gz 		1000000	0.977568	0.972494	0.686082	
ds_1400_7.vw.gz 		1000000	0.976327	0.976633	0.705058	
ds_1401_7.vw.gz 		1000000	0.980413	0.978938	0.711986	
ds_1402_4.vw.gz 		1000000	0.966639	0.965637	0.482793	
ds_1403_4.vw.gz 		1000000	0.965387	0.965363	0.490305	
ds_1404_4.vw.gz 		1000000	0.965309	0.965509	0.495905	
ds_1405_4.vw.gz 		1000000	0.965372	0.964762	0.446213	
ds_1406_4.vw.gz 		1000000	0.967042	0.967529	0.482273	
ds_1407_4.vw.gz 		1000000	0.965537	0.965877	0.492205	
ds_1408_4.vw.gz 		1000000	0.960732	0.960662	0.382527	
ds_1409_4.vw.gz 		1000000	0.964775	0.965198	0.476110	
ds_1410_4.vw.gz 		1000000	0.965552	0.965272	0.482339	
ds_1413_3.vw.gz 		150	0.780000	0.666667	0.820000	
ds_141_4.vw.gz 		1000000	0.838920	0.837913	0.636652	
ds_144_4.vw.gz 		1000000	0.985692	0.985659	0.111064	
ds_1457_50.vw.gz 		1500	0.982000	0.979333	0.983333	
ds_1459_10.vw.gz 		10218	0.924251	0.920141	0.881484	
ds_1465_6.vw.gz 		106	0.858491	0.801887	0.849057	
ds_1466_10.vw.gz 		2126	0.968485	0.926152	0.800564	
ds_1468_9.vw.gz 		1080	0.959259	0.876852	0.535185	
ds_1472_37.vw.gz 		768	0.980469	0.976562	0.962240	
ds_1475_6.vw.gz 		6118	0.884766	0.864335	0.696143	
ds_1476_6.vw.gz 		13910	0.973257	0.964198	0.552265	
ds_1477_6.vw.gz 		13910	0.982171	0.978433	0.537886	
ds_1478_6.vw.gz 		10299	0.985241	0.964365	0.586271	
ds_147_3.vw.gz 		1000000	0.963209	0.963294	0.233280	
ds_1481_18.vw.gz 		28056	0.985066	0.955019	0.899665	
ds_1482_30.vw.gz 		340	0.952941	0.952941	0.979412	
ds_1483_11.vw.gz 		164860	0.970721	0.976580	0.767021	
ds_148_7.vw.gz 		1000000	0.968929	0.969467	0.494430	
ds_1491_100.vw.gz 		1600	0.988750	0.988125	0.987500	
ds_1492_100.vw.gz 		1600	0.992500	0.987500	0.990000	
ds_1493_100.vw.gz 		1599	0.987492	0.993746	0.986241	
ds_1497_4.vw.gz 		5456	0.844941	0.815249	0.565066	
ds_1499_3.vw.gz 		210	0.752381	0.638095	0.709524	
ds_149_10.vw.gz 		1455525	0.992989	0.991804	0.552939	
ds_14_10.vw.gz 		2000	0.922000	0.900000	0.920500	
ds_1500_3.vw.gz 		210	0.661905	0.695238	0.676190	
ds_1501_10.vw.gz 		1593	0.962335	0.835530	0.789077	
ds_1503_10.vw.gz 		263256	0.899824	0.900785	0.900299	
ds_1508_5.vw.gz 		403	0.880893	0.853598	0.717122	
ds_1509_22.vw.gz 		149332	0.989433	0.986754	0.876785	
ds_150_7.vw.gz 		581012	0.989341	0.988795	0.445187	
ds_1512_5.vw.gz 		200	0.895000	0.805000	0.830000	
ds_1513_5.vw.gz 		123	0.764228	0.747967	0.772358	
ds_1514_10.vw.gz 		360	0.944444	0.908333	0.633333	
ds_1515_20.vw.gz 		571	0.975482	0.950963	0.898424	
ds_1516_4.vw.gz 		88	0.840909	0.886364	0.659091	
ds_1517_5.vw.gz 		47	0.808511	0.680851	0.787234	
ds_1518_4.vw.gz 		47	0.893617	0.872340	0.808511	
ds_1519_3.vw.gz 		117	0.888889	0.854701	0.521368	
ds_1520_5.vw.gz 		164	0.951220	0.871951	0.762195	
ds_1523_3.vw.gz 		310	0.787097	0.687097	0.622581	
ds_1525_4.vw.gz 		5456	0.924304	0.900660	0.511364	
ds_1526_4.vw.gz 		5456	0.924120	0.905242	0.649927	
ds_1527_5.vw.gz 		3252	0.971402	0.972325	0.127306	
ds_1528_5.vw.gz 		1623	0.970425	0.959951	0.133087	
ds_1529_5.vw.gz 		1521	0.962525	0.917817	0.135437	
ds_1530_5.vw.gz 		1515	0.965677	0.954455	0.135974	
ds_1531_5.vw.gz 		10176	0.983785	0.983196	0.075472	
ds_1532_5.vw.gz 		10668	0.985096	0.983971	0.073678	
ds_1533_5.vw.gz 		10386	0.984113	0.984402	0.074812	
ds_1534_5.vw.gz 		10190	0.984298	0.983317	0.076055	
ds_1535_5.vw.gz 		9989	0.983181	0.984183	0.077085	
ds_1536_5.vw.gz 		10130	0.983021	0.986081	0.075420	
ds_1537_5.vw.gz 		28626	0.986131	0.985153	0.064347	
ds_1538_5.vw.gz 		8753	0.979893	0.976465	0.092997	
