Started Training CB and IGL on Wed Aug 18 02:05:45 UTC 2021.
Saving to ../notes/result_2021-08-18_02:05:45.dat
|: -----------------------------------------------------------------------------------------------------:|
|Filename	|	Num Examples	|	CB Loss|IGL Loss	|	IGL Flipped Sign Loss|
ds_1399_7.vw.gz 		1000000	0.682763	0.692213	0.702071	
ds_1400_7.vw.gz 		1000000	0.703472	0.756573	0.723707	
ds_1401_7.vw.gz 		1000000	0.711557	0.794434	0.742000	
ds_1402_4.vw.gz 		1000000	0.483159	0.483091	0.483305	
ds_1403_4.vw.gz 		1000000	0.490392	0.490016	0.490219	
ds_1404_4.vw.gz 		1000000	0.496241	0.496058	0.496428	
ds_1405_4.vw.gz 		1000000	0.446537	0.447202	0.447190	
ds_1406_4.vw.gz 		1000000	0.482072	0.482101	0.482005	
ds_1407_4.vw.gz 		1000000	0.492013	0.491983	0.492426	
ds_1408_4.vw.gz 		1000000	0.381825	0.383413	0.383523	
ds_1409_4.vw.gz 		1000000	0.476213	0.476297	0.476637	
ds_1410_4.vw.gz 		1000000	0.482885	0.483323	0.482991	
ds_1413_3.vw.gz 		150	0.686667	0.660000	0.660000	
ds_141_4.vw.gz 		1000000	0.637813	0.642195	0.693691	
ds_144_4.vw.gz 		1000000	0.111071	0.111064	0.111073	
ds_1457_50.vw.gz 		1500	0.978000	0.978000	0.978000	
ds_1459_10.vw.gz 		10218	0.880701	0.923077	0.889900	
ds_1465_6.vw.gz 		106	0.811321	0.820755	0.820755	
ds_1466_10.vw.gz 		2126	0.784572	0.880056	0.833020	
ds_1468_9.vw.gz 		1080	0.509259	0.571296	0.577778	
ds_1472_37.vw.gz 		768	0.953125	0.975260	0.975260	
ds_1475_6.vw.gz 		6118	0.634685	0.678326	0.893102	
ds_1476_6.vw.gz 		13910	0.528900	0.728109	0.650683	
ds_1477_6.vw.gz 		13910	0.496837	0.461395	0.482531	
ds_1478_6.vw.gz 		10299	0.579085	0.976308	0.972036	
ds_147_3.vw.gz 		1000000	0.233433	0.233460	0.233347	
ds_1481_18.vw.gz 		28056	0.905653	0.978222	0.980895	
ds_1482_30.vw.gz 		340	0.973529	0.970588	0.964706	
ds_1483_11.vw.gz 		164860	0.774512	0.766832	0.784605	
ds_148_7.vw.gz 		1000000	0.491626	0.493456	0.493251	
ds_1491_100.vw.gz 		1600	0.989375	0.986250	0.988125	
ds_1492_100.vw.gz 		1600	0.993125	0.987500	0.987500	
ds_1493_100.vw.gz 		1599	0.995622	0.989994	0.989994	
ds_1497_4.vw.gz 		5456	0.598424	0.662940	0.556635	
ds_1499_3.vw.gz 		210	0.671429	0.671429	0.671429	
ds_149_10.vw.gz 		1455525	0.553241	0.552461	0.551826	
ds_14_10.vw.gz 		2000	0.891500	0.927000	0.921500	
ds_1500_3.vw.gz 		210	0.690476	0.680952	0.680952	
ds_1501_10.vw.gz 		1593	0.816698	0.763340	0.785938	
ds_1503_10.vw.gz 		263256	0.899125	0.901241	0.900709	
ds_1508_5.vw.gz 		403	0.724566	0.759305	0.756824	
ds_1509_22.vw.gz 		149332	0.877019	0.882149	0.881827	
ds_150_7.vw.gz 		581012	0.445295	0.447089	0.446223	
ds_1512_5.vw.gz 		200	0.810000	0.840000	0.880000	
ds_1513_5.vw.gz 		123	0.674797	0.886179	0.886179	
ds_1514_10.vw.gz 		360	0.908333	0.858333	0.858333	
ds_1515_20.vw.gz 		571	0.936953	0.954466	0.954466	
ds_1516_4.vw.gz 		88	0.465909	0.795455	0.795455	
ds_1517_5.vw.gz 		47	0.680851	0.914894	0.914894	
ds_1518_4.vw.gz 		47	0.553191	0.893617	0.893617	
ds_1519_3.vw.gz 		117	0.461538	0.811966	0.811966	
ds_1520_5.vw.gz 		164	0.756098	0.829268	0.829268	
ds_1523_3.vw.gz 		310	0.535484	0.725806	0.725806	
ds_1525_4.vw.gz 		5456	0.554435	0.575147	0.898277	
ds_1526_4.vw.gz 		5456	0.628299	0.863820	0.907625	
ds_1527_5.vw.gz 		3252	0.130996	0.130996	0.130996	
ds_1528_5.vw.gz 		1623	0.132471	0.132471	0.132471	
ds_1529_5.vw.gz 		1521	0.135437	0.135437	0.135437	
ds_1530_5.vw.gz 		1515	0.141254	0.141254	0.141254	
ds_1531_5.vw.gz 		10176	0.076258	0.076258	0.076258	
ds_1532_5.vw.gz 		10668	0.073397	0.073397	0.073397	
ds_1533_5.vw.gz 		10386	0.075005	0.075005	0.075005	
ds_1534_5.vw.gz 		10190	0.075859	0.075859	0.075859	
ds_1535_5.vw.gz 		9989	0.077385	0.077385	0.077385	
ds_1536_5.vw.gz 		10130	0.075716	0.075716	0.075716	
ds_1537_5.vw.gz 		28626	0.064242	0.064242	0.064242	
ds_1538_5.vw.gz 		8753	0.092997	0.092997	0.092997	
ds_1539_5.vw.gz 		9172	0.091692	0.091692	0.091692	
ds_1540_5.vw.gz 		9285	0.092838	0.092838	0.092838	
ds_1541_5.vw.gz 		8654	0.094985	0.094985	0.094985	
ds_1542_5.vw.gz 		1183	0.120879	0.120879	0.120879	
ds_1543_5.vw.gz 		1080	0.130556	0.130556	0.130556	
ds_1544_5.vw.gz 		1277	0.123727	0.123727	0.123727	
ds_1545_5.vw.gz 		1252	0.120607	0.120607	0.120607	
ds_1546_5.vw.gz 		1112	0.130396	0.130396	0.130396	
ds_1548_3.vw.gz 		2500	0.548400	0.561200	0.557600	
ds_1549_8.vw.gz 		750	0.844000	0.864000	0.844000	
ds_154_10.vw.gz 		1000000	0.868157	0.950621	0.951917	
ds_1551_8.vw.gz 		400	0.870000	0.847500	0.847500	
ds_1552_5.vw.gz 		1100	0.788182	0.791818	0.791818	
ds_1553_3.vw.gz 		700	0.680000	0.678571	0.684286	
ds_1554_5.vw.gz 		500	0.678000	0.784000	0.784000	
ds_1555_8.vw.gz 		1000	0.835000	0.887000	0.887000	
ds_1557_3.vw.gz 		4177	0.539143	0.795308	0.795786	
ds_155_10.vw.gz 		829201	0.550872	0.551890	0.551844	
ds_156_5.vw.gz 		1000000	0.737695	0.880753	0.876119	
ds_157_5.vw.gz 		1000000	0.735653	0.884451	0.885148	
ds_158_5.vw.gz 		1000000	0.734420	0.884058	0.881096	
ds_159_5.vw.gz 		1000000	0.744241	0.872458	0.870134	
ds_160_5.vw.gz 		1000000	0.743666	0.865432	0.869279	
ds_163_3.vw.gz 		32	0.750000	0.750000	0.750000	
ds_16_10.vw.gz 		2000	0.889500	0.892000	0.884500	
