      ds_1041_10.vw.gz	0.644175	0.560265	0.940600	
      ds_1044_3.vw.gz	0.624360	0.636613	0.733815	
      ds_1047_11.vw.gz	0.798030	0.911330	0.798030	
      ds_1057_6.vw.gz	0.250000	0.276316	0.960526	
      ds_1077_3.vw.gz	0.857143	0.704762	0.714286	
      ds_1078_3.vw.gz	0.466667	0.457143	0.742857	
      ds_1079_5.vw.gz	0.715789	0.768421	0.705263	
      ds_1080_5.vw.gz	0.893805	0.805310	0.893805	
      ds_1081_4.vw.gz	0.910112	0.674157	0.910112	
      ds_1082_5.vw.gz	0.826087	0.684783	0.826087	
      ds_1083_7.vw.gz	0.901869	0.887850	0.883178	
      ds_1084_3.vw.gz	0.709091	0.690909	0.736364	
      ds_1086_3.vw.gz	0.915194	0.650177	0.915194	
      ds_1087_3.vw.gz	0.766784	0.519435	0.469965	
      ds_1088_10.vw.gz	0.950392	0.913838	0.950392	
      ds_10_4.vw.gz	0.445946	0.513514	0.945946	
      ds_1100_3.vw.gz	0.564854	0.571130	0.721757	
      ds_1102_9.vw.gz	0.885417	0.854167	0.885417	
      ds_1106_14.vw.gz	0.921053	0.947368	0.921053	
      ds_1109_11.vw.gz	0.916667	0.916667	0.885417	
      ds_1110_23.vw.gz	0.223308	0.228865	0.997785	
      ds_1113_23.vw.gz	0.241938	0.249974	0.997579	
      ds_1115_3.vw.gz	0.682119	0.662252	0.635762	
      ds_1117_3.vw.gz	0.456790	0.530864	0.851852	
      ds_115_10.vw.gz	0.848780	0.848505	0.959994	
      ds_116_6.vw.gz	0.507966	0.508346	0.967534	
      ds_1177_22.vw.gz	0.881524	0.885545	0.992709	
      ds_1179_3.vw.gz	0.038545	0.038536	0.981319	
      ds_117_6.vw.gz	0.510410	0.508734	0.968178	
      ds_1183_6.vw.gz	0.596553	0.595935	0.970473	
      ds_1185_3.vw.gz	0.276135	0.276093	0.927330	
      ds_1186_5.vw.gz	0.721577	0.720174	0.855108	
      ds_118_10.vw.gz	0.721307	0.720885	0.986847	
      ds_119_3.vw.gz	0.588216	0.588921	0.763184	
      ds_11_3.vw.gz	0.622400	0.604800	0.760000	
      ds_1209_11.vw.gz	0.908171	0.909235	0.908328	
      ds_1214_9.vw.gz	0.854009	0.855014	0.906355	
